,Period,MatchClock,Timestamp,EventType,TeamStrengthType,TeamStrength,HomeGoalieOnIce,AwayGoalieOnIce,EventPosition,EventStartCoordinate,EventEndCoordinate,EventPrimaryPlayerId,EventPrimaryPlayerName,EventPrimaryTeam,EventSecondaryPlayerId,EventSecondaryPlayerName,EventSecondaryTeam,FaceoffSpot,ShotResult,ShotSpeed,ShotScreeningPlayerIds,ShotXG,GoalAssist1Id,GoalAssist2Id,PassResult,PassSpeed,BluelineCrossingResult,BluelineCrossingDirection,BluelineCrossingAttackerIds,BluelineCrossingDefenderIds,DumpResult,DumpType,DumpAlongTheBoards,ClearType,ClearAlongTheBoards,PuckControlState,PuckControlStartZone,PuckControlEndZone,PuckControlContestingPlayerIds,StoppageOfPlayReason,PenaltyReason,ParticipatingPlayerIds,StartPlayerId1,StartPlayerId2,StartPlayerId3,StartPlayerId4,StartPlayerId5,StartPlayerId6,StartPlayerId7,StartPlayerId8,StartPlayerId9,StartPlayerId10,StartPlayerId11,StartPlayerId12,StartPlayerName1,StartPlayerName2,StartPlayerName3,StartPlayerName4,StartPlayerName5,StartPlayerName6,StartPlayerName7,StartPlayerName8,StartPlayerName9,StartPlayerName10,StartPlayerName11,StartPlayerName12,StartPlayerTeam1,StartPlayerTeam2,StartPlayerTeam3,StartPlayerTeam4,StartPlayerTeam5,StartPlayerTeam6,StartPlayerTeam7,StartPlayerTeam8,StartPlayerTeam9,StartPlayerTeam10,StartPlayerTeam11,StartPlayerTeam12,StartPlayerCoordinates1,StartPlayerCoordinates2,StartPlayerCoordinates3,StartPlayerCoordinates4,StartPlayerCoordinates5,StartPlayerCoordinates6,StartPlayerCoordinates7,StartPlayerCoordinates8,StartPlayerCoordinates9,StartPlayerCoordinates10,StartPlayerCoordinates11,StartPlayerCoordinates12,StartPlayerVelocity1,StartPlayerVelocity2,StartPlayerVelocity3,StartPlayerVelocity4,StartPlayerVelocity5,StartPlayerVelocity6,StartPlayerVelocity7,StartPlayerVelocity8,StartPlayerVelocity9,StartPlayerVelocity10,StartPlayerVelocity11,StartPlayerVelocity12,StartPlayerDirection1,StartPlayerDirection2,StartPlayerDirection3,StartPlayerDirection4,StartPlayerDirection5,StartPlayerDirection6,StartPlayerDirection7,StartPlayerDirection8,StartPlayerDirection9,StartPlayerDirection10,StartPlayerDirection11,StartPlayerDirection12
4452,3,1177,1703800000000.0,PuckControl,HomePowerplay,6v4,False,True,AwayTeamZone,"21.7,14","22.6,13",333800.0,#86 Josh Jooris,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,333800,304441.0,340162.0,340163.0,337835.0,308599.0,321718.0,333800.0,343628.0,343192.0,888052819.0,325032.0,,#91 Gilles Senn,#6 Klas Dahlbeck,#42 Joakim Nordström,#40 Dennis Rasmussen,#46 Dominik Egli,#88 Christopher DiDomenico,#86 Josh Jooris,#19 Corban Knight,#16 Joey LaLeggia,#24 Ty Smith,#4 Jonathan Hazen,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.3,1.2","23.3,2.6","14,9.2","16.1,0.8","22.5,6.6","9.3,13.2","22.5,14.1","24.4,4.1","15.2,-6.5","8.2,-2.1","20.1,4.3",,,,,,,,,,,,,,,,,,,,,,,,,
4453,3,1178,1703800000000.0,Pass,HomePowerplay,6v4,False,True,AwayTeamZone,"22.6,13","12.8,12.6",333800.0,#86 Josh Jooris,Home,321718.0,#88 Christopher DiDomenico,Home,,,,,,,,Successful,10.9,,,,,,,,,,,,,,,,"333,800,321,718",304441.0,340162.0,340163.0,337835.0,308599.0,321718.0,333800.0,343628.0,343192.0,888052819.0,325032.0,,#91 Gilles Senn,#6 Klas Dahlbeck,#42 Joakim Nordström,#40 Dennis Rasmussen,#46 Dominik Egli,#88 Christopher DiDomenico,#86 Josh Jooris,#19 Corban Knight,#16 Joey LaLeggia,#24 Ty Smith,#4 Jonathan Hazen,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.6,1.2","23.5,2.2","16.2,8.4","17.9,2.1","22.8,7","10.4,13.6","23.1,13.1","24.2,3.9","16.1,-5.8","8,-1.7","19.3,5.5",,0.573,0.897,3.396,3.281,0.555,1.964,1.812,0.673,2.107,1.429,1.971,,"0.84,-0.542","0.52,-0.854","0.915,-0.403","0.841,0.542","0.391,0.92","0.924,0.382","0.26,-0.966","-0.04,-0.999","0.548,0.837","0.207,0.978","-0.131,0.991",
4454,3,1178,1703800000000.0,PuckControl,HomePowerplay,6v4,False,True,AwayTeamZone,"22.6,13","12.8,12.6",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,,304441.0,340162.0,340163.0,337835.0,308599.0,321718.0,333800.0,343628.0,343192.0,888052819.0,325032.0,,#91 Gilles Senn,#6 Klas Dahlbeck,#42 Joakim Nordström,#40 Dennis Rasmussen,#46 Dominik Egli,#88 Christopher DiDomenico,#86 Josh Jooris,#19 Corban Knight,#16 Joey LaLeggia,#24 Ty Smith,#4 Jonathan Hazen,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.6,1.2","23.6,2.2","16.2,8.4","17.9,2.1","22.8,7","10.4,13.6","23.1,13","24.2,3.9","16.1,-5.8","8,-1.7","19.3,5.5",,,,,,,,,,,,,,,,,,,,,,,,,
4455,3,1179,1703800000000.0,PuckControl,HomePowerplay,6v4,False,True,AwayTeamZone,"12.8,12.6","10.1,1",321718.0,#88 Christopher DiDomenico,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,321718,304441.0,340162.0,340163.0,337835.0,308599.0,321718.0,333800.0,343628.0,343192.0,888052819.0,325032.0,,#91 Gilles Senn,#6 Klas Dahlbeck,#42 Joakim Nordström,#40 Dennis Rasmussen,#46 Dominik Egli,#88 Christopher DiDomenico,#86 Josh Jooris,#19 Corban Knight,#16 Joey LaLeggia,#24 Ty Smith,#4 Jonathan Hazen,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.5,0.8","23.9,1.2","17.2,7.5","18.9,2.4","22.5,6.6","12.1,13.2","23.3,11.2","24.2,3.6","16.2,-5.1","8.8,-1","19.7,6.7",,,,,,,,,,,,,,,,,,,,,,,,,
4456,3,1182,1703800000000.0,Shot,HomePowerplay,6v4,False,True,AwayTeamZone,"10.1,1.1",,321718.0,#88 Christopher DiDomenico,Home,304441.0,#91 Gilles Senn,Away,,Missed,107.5,"343,628,325,032",0.034,,,,,,,,,,,,,,,,,,,,"321,718,304,441,343,000,000,000",304441.0,340162.0,340163.0,337835.0,308599.0,321718.0,333800.0,343628.0,343192.0,888052819.0,325032.0,,#91 Gilles Senn,#6 Klas Dahlbeck,#42 Joakim Nordström,#40 Dennis Rasmussen,#46 Dominik Egli,#88 Christopher DiDomenico,#86 Josh Jooris,#19 Corban Knight,#16 Joey LaLeggia,#24 Ty Smith,#4 Jonathan Hazen,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.1,0.7","22.4,-1.9","15.7,1.9","15.1,-1.5","21.2,3.4","11,2","24.8,3.8","23.9,1.1","19.6,-6.1","7.4,3.5","20.8,0.9",,0.91,0.828,2.816,2.103,0.47,4.47,1.459,0.537,2.869,5.177,2.104,,"0.053,-0.999","0.498,0.867","0.5,-0.866","0.831,-0.557","0.249,-0.968","0.247,-0.969","0.312,-0.95","0.319,-0.948","0.094,-0.996","0.137,0.991","0.879,-0.476",
4457,3,1182,1703800000000.0,PuckControl,HomePowerplay,6v4,False,True,AwayTeamZone,"10.1,1","19.4,0.6",,,,,,,,,,,,,,,,,,,,,,,,,Loose,HomeTeamZone,HomeTeamZone,,,,,304441.0,340162.0,340163.0,337835.0,308599.0,321718.0,333800.0,343628.0,343192.0,888052819.0,325032.0,,#91 Gilles Senn,#6 Klas Dahlbeck,#42 Joakim Nordström,#40 Dennis Rasmussen,#46 Dominik Egli,#88 Christopher DiDomenico,#86 Josh Jooris,#19 Corban Knight,#16 Joey LaLeggia,#24 Ty Smith,#4 Jonathan Hazen,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.1,0.7","22.4,-1.9","15.8,1.9","15.2,-1.5","21.2,3.3","11,1.9","24.8,3.8","23.9,1.1","19.6,-6.2","7.4,3.6","20.8,0.9",,,,,,,,,,,,,,,,,,,,,,,,,
