,Period,MatchClock,Timestamp,EventType,TeamStrengthType,TeamStrength,HomeGoalieOnIce,AwayGoalieOnIce,EventPosition,EventStartCoordinate,EventEndCoordinate,EventPrimaryPlayerId,EventPrimaryPlayerName,EventPrimaryTeam,EventSecondaryPlayerId,EventSecondaryPlayerName,EventSecondaryTeam,FaceoffSpot,ShotResult,ShotSpeed,ShotScreeningPlayerIds,ShotXG,GoalAssist1Id,GoalAssist2Id,PassResult,PassSpeed,BluelineCrossingResult,BluelineCrossingDirection,BluelineCrossingAttackerIds,BluelineCrossingDefenderIds,DumpResult,DumpType,DumpAlongTheBoards,ClearType,ClearAlongTheBoards,PuckControlState,PuckControlStartZone,PuckControlEndZone,PuckControlContestingPlayerIds,StoppageOfPlayReason,PenaltyReason,ParticipatingPlayerIds,StartPlayerId1,StartPlayerId2,StartPlayerId3,StartPlayerId4,StartPlayerId5,StartPlayerId6,StartPlayerId7,StartPlayerId8,StartPlayerId9,StartPlayerId10,StartPlayerId11,StartPlayerId12,StartPlayerName1,StartPlayerName2,StartPlayerName3,StartPlayerName4,StartPlayerName5,StartPlayerName6,StartPlayerName7,StartPlayerName8,StartPlayerName9,StartPlayerName10,StartPlayerName11,StartPlayerName12,StartPlayerTeam1,StartPlayerTeam2,StartPlayerTeam3,StartPlayerTeam4,StartPlayerTeam5,StartPlayerTeam6,StartPlayerTeam7,StartPlayerTeam8,StartPlayerTeam9,StartPlayerTeam10,StartPlayerTeam11,StartPlayerTeam12,StartPlayerCoordinates1,StartPlayerCoordinates2,StartPlayerCoordinates3,StartPlayerCoordinates4,StartPlayerCoordinates5,StartPlayerCoordinates6,StartPlayerCoordinates7,StartPlayerCoordinates8,StartPlayerCoordinates9,StartPlayerCoordinates10,StartPlayerCoordinates11,StartPlayerCoordinates12,StartPlayerVelocity1,StartPlayerVelocity2,StartPlayerVelocity3,StartPlayerVelocity4,StartPlayerVelocity5,StartPlayerVelocity6,StartPlayerVelocity7,StartPlayerVelocity8,StartPlayerVelocity9,StartPlayerVelocity10,StartPlayerVelocity11,StartPlayerVelocity12,StartPlayerDirection1,StartPlayerDirection2,StartPlayerDirection3,StartPlayerDirection4,StartPlayerDirection5,StartPlayerDirection6,StartPlayerDirection7,StartPlayerDirection8,StartPlayerDirection9,StartPlayerDirection10,StartPlayerDirection11,StartPlayerDirection12
3196,3,180,1703800000000.0,PuckControl,AwayPowerplay,4v5,True,True,HomeTeamZone,"-8.4,-6.2","-8.7,-3.4",322236.0,#55 Calle Andersson,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,AwayTeamZone,AwayTeamZone,,,,322236,304441.0,337835.0,337684.0,322236.0,332924.0,340161.0,888052816.0,333800.0,343628.0,344373.0,888052817.0,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#67 Leon Bristedt,#1 Thomas Milic,#86 Josh Jooris,#19 Corban Knight,#28 Nathan Beaulieu,#8 Jordie Benn,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.3,0.4","-20.7,-4.8","-8,-0.7","-8.9,-8.3","-16.3,-9.7","-20.7,-0.7","-26.1,-0.5","-15.1,-6.8","-14.6,0","-18.9,-7.1","-23,-0.7",,,,,,,,,,,,,,,,,,,,,,,,,
3197,3,181,1703800000000.0,Pass,AwayPowerplay,4v5,True,True,HomeTeamZone,"-8.6,-3.3","-12.4,-9.6",322236.0,#55 Calle Andersson,Away,332924.0,#25 Henrik Haapala,Away,,,,,,,,Successful,11.7,,,,,,,,,,,,,,,,"322,236,332,924",304441.0,337835.0,337684.0,322236.0,332924.0,340161.0,888052816.0,333800.0,343628.0,344373.0,888052817.0,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#67 Leon Bristedt,#1 Thomas Milic,#86 Josh Jooris,#19 Corban Knight,#28 Nathan Beaulieu,#8 Jordie Benn,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.4,-0.4","-21.1,-2.1","-8.4,2.8","-7.9,-4.3","-13.9,-11.1","-19.6,0.3","-25.9,0","-12.5,-3.7","-14.2,-0.1","-19.4,-5","-22.7,-0.4",,0.467,2.613,3.815,4.24,2.677,0.533,0.862,3.866,1.667,2.696,0.245,,"-0.427,-0.904","-0.611,0.792","-0.46,0.888","0.109,0.994","1,-0.02","-0.264,-0.964","0.62,0.784","0.354,0.935","-0.284,0.959","-0.396,0.918","-0.999,0.043",
3198,3,181,1703800000000.0,PuckControl,AwayPowerplay,4v5,True,True,HomeTeamZone,"-8.7,-3.4","-12.4,-9.6",,,,,,,,,,,,,,,,,,,,,,,,,AwayControl,AwayTeamZone,AwayTeamZone,,,,,304441.0,337835.0,337684.0,322236.0,332924.0,340161.0,888052816.0,333800.0,343628.0,344373.0,888052817.0,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#67 Leon Bristedt,#1 Thomas Milic,#86 Josh Jooris,#19 Corban Knight,#28 Nathan Beaulieu,#8 Jordie Benn,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.4,-0.4","-21.1,-2.1","-8.4,2.9","-7.9,-4.2","-13.9,-11.1","-19.6,0.3","-25.9,0","-12.5,-3.7","-14.2,-0.1","-19.5,-4.9","-22.7,-0.4",,,,,,,,,,,,,,,,,,,,,,,,,
3199,3,182,1703800000000.0,PuckControl,AwayPowerplay,4v5,True,True,HomeTeamZone,"-12.4,-9.6","-17.8,-8.4",332924.0,#25 Henrik Haapala,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,AwayTeamZone,AwayTeamZone,,,,332924,304441.0,337835.0,337684.0,322236.0,332924.0,340161.0,888052816.0,333800.0,343628.0,344373.0,888052817.0,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#67 Leon Bristedt,#1 Thomas Milic,#86 Josh Jooris,#19 Corban Knight,#28 Nathan Beaulieu,#8 Jordie Benn,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.3,-0.4","-22.2,-1.7","-9.8,4.8","-7.5,-2.4","-12.6,-10.3","-19.4,-0.4","-25.5,0.3","-12.4,-2","-14.8,0.6","-19.9,-4.2","-22.9,-0.5",,,,,,,,,,,,,,,,,,,,,,,,,
3200,3,184,1703800000000.0,Pass,AwayPowerplay,4v5,True,True,HomeTeamZone,"-17.8,-8.5","-21.6,5",332924.0,#25 Henrik Haapala,Away,337684.0,#19 Jesper Olofsson,Away,,,,,,,,Successful,14.3,,,,,,,,,,,,,,,,"332,924,337,684",304441.0,337835.0,337684.0,322236.0,332924.0,340161.0,888052816.0,333800.0,343628.0,344373.0,888052817.0,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#67 Leon Bristedt,#1 Thomas Milic,#86 Josh Jooris,#19 Corban Knight,#28 Nathan Beaulieu,#8 Jordie Benn,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.3,0.7","-24,-1.5","-18,5.9","-7.7,-3.3","-17.1,-9.3","-17.5,-2.2","-25.6,-0.9","-16,-4.2","-18.6,-1.4","-20.3,-5.9","-23.5,0.3",,0.071,0.229,4.899,1.367,3.758,0.454,0.413,3.077,2.275,1.68,0.609,,"-0.838,-0.546","-0.784,0.621","-1,0.016","-0.532,-0.847","-0.982,0.191","-0.128,-0.992","0.846,0.533","-0.876,-0.481","-0.763,-0.646","-0.395,-0.918","-0.026,1",
3201,3,184,1703800000000.0,PuckControl,AwayPowerplay,4v5,True,True,HomeTeamZone,"-17.8,-8.4","-21.6,5",,,,,,,,,,,,,,,,,,,,,,,,,AwayControl,AwayTeamZone,AwayTeamZone,,,,,304441.0,337835.0,337684.0,322236.0,332924.0,340161.0,888052816.0,333800.0,343628.0,344373.0,888052817.0,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#67 Leon Bristedt,#1 Thomas Milic,#86 Josh Jooris,#19 Corban Knight,#28 Nathan Beaulieu,#8 Jordie Benn,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.3,0.7","-24,-1.5","-18.1,5.9","-7.7,-3.3","-17.2,-9.3","-17.5,-2.2","-25.6,-0.9","-16,-4.2","-18.6,-1.4","-20.3,-5.9","-23.5,0.3",,,,,,,,,,,,,,,,,,,,,,,,,
3202,3,185,1703800000000.0,PuckControl,AwayPowerplay,4v5,True,True,HomeTeamZone,"-21.6,5","-22.3,5.1",337684.0,#19 Jesper Olofsson,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,AwayTeamZone,AwayTeamZone,,,,337684,304441.0,337835.0,337684.0,322236.0,332924.0,340161.0,888052816.0,333800.0,343628.0,344373.0,888052817.0,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#67 Leon Bristedt,#1 Thomas Milic,#86 Josh Jooris,#19 Corban Knight,#28 Nathan Beaulieu,#8 Jordie Benn,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.5,0.3","-24.1,-0.6","-21.9,6.9","-8.5,-3.4","-19.2,-8.7","-17.9,-2.1","-26.5,-0.3","-18.7,-4.3","-19.6,-0.4","-21.3,-6.1","-23.1,1.4",,,,,,,,,,,,,,,,,,,,,,,,,
3203,3,185,1703800000000.0,Pass,AwayPowerplay,4v5,True,True,HomeTeamZone,"-22.2,5.2","-24.7,0.6",337684.0,#19 Jesper Olofsson,Away,337835.0,#40 Dennis Rasmussen,Away,,,,,,,,Successful,15.6,,,,,,,,,,,,,,,,"337,684,337,835",304441.0,337835.0,337684.0,322236.0,332924.0,340161.0,888052816.0,333800.0,343628.0,344373.0,888052817.0,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#67 Leon Bristedt,#1 Thomas Milic,#86 Josh Jooris,#19 Corban Knight,#28 Nathan Beaulieu,#8 Jordie Benn,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.5,0.3","-24.1,-0.5","-22.2,7","-8.6,-3.3","-19.2,-8.6","-17.9,-2","-26.6,-0.2","-19,-4","-19.6,-0.2","-21.5,-5.9","-23.1,1.6",,0.411,0.95,3.285,1.518,0.431,1.728,1.624,3.252,2.618,2.43,2.406,,"0.986,0.166","-0.614,0.789","-0.936,0.353","-0.468,0.884","-0.646,0.764","-0.449,0.894","-0.436,0.9","-0.655,0.755","-0.272,0.962","-0.479,0.878","0.137,0.991",
3204,3,185,1703800000000.0,PuckControl,AwayPowerplay,4v5,True,True,HomeTeamZone,"-22.3,5.1","-24.7,0.6",,,,,,,,,,,,,,,,,,,,,,,,,AwayControl,AwayTeamZone,AwayTeamZone,,,,,304441.0,337835.0,337684.0,322236.0,332924.0,340161.0,888052816.0,333800.0,343628.0,344373.0,888052817.0,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#67 Leon Bristedt,#1 Thomas Milic,#86 Josh Jooris,#19 Corban Knight,#28 Nathan Beaulieu,#8 Jordie Benn,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.5,0.3","-24.1,-0.5","-22.3,7","-8.6,-3.2","-19.2,-8.6","-17.9,-1.9","-26.6,-0.1","-19,-4","-19.7,-0.1","-21.5,-5.9","-23.1,1.6",,,,,,,,,,,,,,,,,,,,,,,,,
3205,3,185,1703800000000.0,Shot,AwayPowerplay,4v5,True,True,HomeTeamZone,"-23.6,0.1",,337835.0,#40 Dennis Rasmussen,Away,888052816.0,#1 Thomas Milic,Home,,Saved,0.0,,0.011,,,,,,,,,,,,,,,,,,,,"337,835,888,052,816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
