,Period,MatchClock,Timestamp,EventType,TeamStrengthType,TeamStrength,HomeGoalieOnIce,AwayGoalieOnIce,EventPosition,EventStartCoordinate,EventEndCoordinate,EventPrimaryPlayerId,EventPrimaryPlayerName,EventPrimaryTeam,EventSecondaryPlayerId,EventSecondaryPlayerName,EventSecondaryTeam,FaceoffSpot,ShotResult,ShotSpeed,ShotScreeningPlayerIds,ShotXG,GoalAssist1Id,GoalAssist2Id,PassResult,PassSpeed,BluelineCrossingResult,BluelineCrossingDirection,BluelineCrossingAttackerIds,BluelineCrossingDefenderIds,DumpResult,DumpType,DumpAlongTheBoards,ClearType,ClearAlongTheBoards,PuckControlState,PuckControlStartZone,PuckControlEndZone,PuckControlContestingPlayerIds,StoppageOfPlayReason,PenaltyReason,ParticipatingPlayerIds,StartPlayerId1,StartPlayerId2,StartPlayerId3,StartPlayerId4,StartPlayerId5,StartPlayerId6,StartPlayerId7,StartPlayerId8,StartPlayerId9,StartPlayerId10,StartPlayerId11,StartPlayerId12,StartPlayerName1,StartPlayerName2,StartPlayerName3,StartPlayerName4,StartPlayerName5,StartPlayerName6,StartPlayerName7,StartPlayerName8,StartPlayerName9,StartPlayerName10,StartPlayerName11,StartPlayerName12,StartPlayerTeam1,StartPlayerTeam2,StartPlayerTeam3,StartPlayerTeam4,StartPlayerTeam5,StartPlayerTeam6,StartPlayerTeam7,StartPlayerTeam8,StartPlayerTeam9,StartPlayerTeam10,StartPlayerTeam11,StartPlayerTeam12,StartPlayerCoordinates1,StartPlayerCoordinates2,StartPlayerCoordinates3,StartPlayerCoordinates4,StartPlayerCoordinates5,StartPlayerCoordinates6,StartPlayerCoordinates7,StartPlayerCoordinates8,StartPlayerCoordinates9,StartPlayerCoordinates10,StartPlayerCoordinates11,StartPlayerCoordinates12,StartPlayerVelocity1,StartPlayerVelocity2,StartPlayerVelocity3,StartPlayerVelocity4,StartPlayerVelocity5,StartPlayerVelocity6,StartPlayerVelocity7,StartPlayerVelocity8,StartPlayerVelocity9,StartPlayerVelocity10,StartPlayerVelocity11,StartPlayerVelocity12,StartPlayerDirection1,StartPlayerDirection2,StartPlayerDirection3,StartPlayerDirection4,StartPlayerDirection5,StartPlayerDirection6,StartPlayerDirection7,StartPlayerDirection8,StartPlayerDirection9,StartPlayerDirection10,StartPlayerDirection11,StartPlayerDirection12
1320,1,1103,1735220000000.0,Pass,HomePowerplay,5v4,True,True,AwayTeamZone,"20,-12.6","29.8,-2.3",340142.0,#9 Marcus Sörensen,Home,331248.0,#92 Linden Vey,Home,,,,,,,,Successful,23.0,,,,,,,,,,,,,,,,"340,142,331,248",888055464.0,101791.0,888040777.0,888042987.0,888055474.0,888047301.0,342394.0,333764.0,340149.0,340142.0,331248.0,,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26,-0.3","-25.9,-0.5","22.4,-5.3","22.7,-0.4","16.6,-8.4","18.1,-3.7","18.5,-5.7","8.2,-10.6","11.8,9.3","20.5,-12.1","28.5,-4.7",,0.249,0.403,1.75,1.079,2.131,1.407,1.616,2.95,3.439,4.295,1.475,,"-0.351,0.936","-0.376,0.927","0.87,-0.493","0.614,0.79","0.662,0.749","0.991,0.132","0.478,0.879","0.334,-0.942","0.018,-1","0.985,0.172","0.642,0.767",
1321,1,1103,1735220000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"20,-12.6","29.8,-2.3",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,AwayTeamZone,AwayTeamZone,,,,,888055464.0,101791.0,888040777.0,888042987.0,888055474.0,888047301.0,342394.0,333764.0,340149.0,340142.0,331248.0,,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26,-0.3","-25.9,-0.5","22.4,-5.3","22.7,-0.4","16.6,-8.3","18.1,-3.7","18.5,-5.6","8.2,-10.6","11.8,9.2","20.6,-12.1","28.5,-4.7",,,,,,,,,,,,,,,,,,,,,,,,,
1322,1,1104,1735220000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"29.8,-2.3","29.1,2.7",331248.0,#92 Linden Vey,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,AwayTeamZone,AwayTeamZone,,,,331248,888055464.0,101791.0,888040777.0,888042987.0,888055474.0,888047301.0,342394.0,333764.0,340149.0,340142.0,331248.0,,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26,-0.3","-26,-0.4","23.9,-4.9","23.1,0.2","17.4,-6.8","18.9,-3.1","18.7,-4.9","8.8,-11.7","13.6,6.1","24.1,-11.4","29,-3.1",,,,,,,,,,,,,,,,,,,,,,,,,
1323,1,1105,1735220000000.0,Pass,HomePowerplay,5v4,True,True,AwayTeamZone,"29.3,2.6","22.5,0",331248.0,#92 Linden Vey,Home,342394.0,#29 Jakob Lilja,Home,,,,,,,,Successful,17.1,,,,,,,,,,,,,,,,"331,248,342,394",888055464.0,101791.0,888040777.0,888042987.0,888055474.0,888047301.0,342394.0,333764.0,340149.0,340142.0,331248.0,,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.2,0.6","-26,-0.5","25.1,-2.4","23.4,2","19.4,-4.8","19.7,-1.2","21.1,-1.9","8.3,-7.9","19.2,5.6","27.5,-7.2","28.3,2.2",,0.282,0.112,1.172,1.614,3.447,3.09,4.318,4.638,2.652,2.7,3.005,,"-0.295,0.955","-0.402,0.916","0.052,0.999","0.106,0.994","0.422,0.906","0.651,0.759","0.866,0.5","-0.15,0.989","0.913,-0.408","-0.27,0.963","-0.676,0.737",
1324,1,1105,1735220000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"29.1,2.7","22.5,0",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,AwayTeamZone,AwayTeamZone,,,,,888055464.0,101791.0,888040777.0,888042987.0,888055474.0,888047301.0,342394.0,333764.0,340149.0,340142.0,331248.0,,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.2,0.6","-26,-0.5","25.1,-2.4","23.4,2","19.4,-4.7","19.7,-1.2","21.2,-1.9","8.3,-7.8","19.2,5.6","27.4,-7.2","28.3,2.3",,,,,,,,,,,,,,,,,,,,,,,,,
1325,1,1105,1735220000000.0,Shot,HomePowerplay,5v4,True,True,AwayTeamZone,"24.1,-0.1",,342394.0,#29 Jakob Lilja,Home,888055464.0,#22 Roman Will,Away,,Missed,0.0,,0.27,,,,,,,,,,,,,,,,,,,,"342,394,888,055,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
