Period,MatchClock,Timestamp,EventType,TeamStrengthType,TeamStrength,HomeGoalieOnIce,AwayGoalieOnIce,EventPosition,EventStartCoordinate,EventEndCoordinate,EventPrimaryPlayerId,EventPrimaryPlayerName,EventPrimaryTeam,EventSecondaryPlayerId,EventSecondaryPlayerName,EventSecondaryTeam,FaceoffSpot,ShotResult,ShotSpeed,ShotScreeningPlayerIds,ShotXG,GoalAssist1Id,GoalAssist2Id,PassResult,PassSpeed,BluelineCrossingResult,BluelineCrossingDirection,BluelineCrossingAttackerIds,BluelineCrossingDefenderIds,DumpResult,DumpType,DumpAlongTheBoards,ClearType,ClearAlongTheBoards,PuckControlState,PuckControlStartZone,PuckControlEndZone,PuckControlContestingPlayerIds,StoppageOfPlayReason,PenaltyReason,ParticipatingPlayerIds,StartPlayerId1,StartPlayerId2,StartPlayerId3,StartPlayerId4,StartPlayerId5,StartPlayerId6,StartPlayerId7,StartPlayerId8,StartPlayerId9,StartPlayerId10,StartPlayerId11,StartPlayerId12,StartPlayerName1,StartPlayerName2,StartPlayerName3,StartPlayerName4,StartPlayerName5,StartPlayerName6,StartPlayerName7,StartPlayerName8,StartPlayerName9,StartPlayerName10,StartPlayerName11,StartPlayerName12,StartPlayerTeam1,StartPlayerTeam2,StartPlayerTeam3,StartPlayerTeam4,StartPlayerTeam5,StartPlayerTeam6,StartPlayerTeam7,StartPlayerTeam8,StartPlayerTeam9,StartPlayerTeam10,StartPlayerTeam11,StartPlayerTeam12,StartPlayerCoordinates1,StartPlayerCoordinates2,StartPlayerCoordinates3,StartPlayerCoordinates4,StartPlayerCoordinates5,StartPlayerCoordinates6,StartPlayerCoordinates7,StartPlayerCoordinates8,StartPlayerCoordinates9,StartPlayerCoordinates10,StartPlayerCoordinates11,StartPlayerCoordinates12,StartPlayerVelocity1,StartPlayerVelocity2,StartPlayerVelocity3,StartPlayerVelocity4,StartPlayerVelocity5,StartPlayerVelocity6,StartPlayerVelocity7,StartPlayerVelocity8,StartPlayerVelocity9,StartPlayerVelocity10,StartPlayerVelocity11,StartPlayerVelocity12,StartPlayerDirection1,StartPlayerDirection2,StartPlayerDirection3,StartPlayerDirection4,StartPlayerDirection5,StartPlayerDirection6,StartPlayerDirection7,StartPlayerDirection8,StartPlayerDirection9,StartPlayerDirection10,StartPlayerDirection11,StartPlayerDirection12
3,568,1.70E+12,Pass,AwayPowerplay,4v5,TRUE,TRUE,HomeTeamZone,"-17.2,-13.1","-9.2,-11.9",332924,#25 Henrik Haapala,Away,322236,#55 Calle Andersson,Away,,,,,,,,Successful,6.7,,,,,,,,,,,,,,,,3.33E+11,304441,337835,337684,322236,332924,100375,340579,344373,342910,888052817,888052815,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#10 Andres Ambühl,#77 Colton Sceviour,#28 Nathan Beaulieu,#91 Tyler Morley,#8 Jordie Benn,#30 Aaron Dell,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.6,0.3","-17.6,-11.6","-8.3,10","-7.6,-11.5","-18.1,-13.4","-18.4,6","-18.6,-0.8","-22.8,2.2","-15.7,-11.2","-21,-10.2","-25.7,-1",,1.215,4.695,1.236,3.888,1.973,5.924,1.195,1.723,4.859,3.355,0.802,,"0.985,0.175","-0.798,0.603","0.053,-0.999","-0.058,-0.998","0.413,-0.911","-0.578,-0.816","-0.823,-0.568","-0.984,-0.178","-0.339,-0.941","0.065,-0.998","-0.636,0.772",
3,568,1.70E+12,PuckControl,AwayPowerplay,4v5,TRUE,TRUE,HomeTeamZone,"-17.2,-13.1","-9.2,-11.9",,,,,,,,,,,,,,,,,,,,,,,,,AwayControl,AwayTeamZone,AwayTeamZone,,,,,304441,337835,337684,322236,332924,100375,340579,344373,342910,888052817,888052815,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#10 Andres Ambühl,#77 Colton Sceviour,#28 Nathan Beaulieu,#91 Tyler Morley,#8 Jordie Benn,#30 Aaron Dell,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.6,0.3","-17.7,-11.5","-8.2,10","-7.6,-11.6","-18.1,-13.5","-18.5,5.9","-18.6,-0.8","-22.9,2.2","-15.7,-11.3","-21,-10.3","-25.7,-1",,,,,,,,,,,,,,,,,,,,,,,,,
3,569,1.70E+12,PuckControl,AwayPowerplay,4v5,TRUE,TRUE,HomeTeamZone,"-9.2,-11.9","-9.8,-1.4",322236,#55 Calle Andersson,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,AwayTeamZone,AwayTeamZone,,,,322236,304441,337835,337684,322236,332924,100375,340579,344373,342910,888052817,888052815,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#10 Andres Ambühl,#77 Colton Sceviour,#28 Nathan Beaulieu,#91 Tyler Morley,#8 Jordie Benn,#30 Aaron Dell,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.4,0.3","-22.5,-8.2","-8.6,7.5","-8,-12.4","-17.4,-13.8","-22,0","-17.6,-1.6","-23.7,0.3","-16.8,-12.9","-18.4,-11.2","-25.9,-0.3",,,,,,,,,,,,,,,,,,,,,,,,,
3,571,1.70E+12,Pass,AwayPowerplay,4v5,TRUE,TRUE,HomeTeamZone,"-9.7,-1.4","-12.2,-7.7",322236,#55 Calle Andersson,Away,332924,#25 Henrik Haapala,Away,,,,,,,,Successful,10,,,,,,,,,,,,,,,,3.22E+11,304441,337835,337684,322236,332924,100375,340579,344373,342910,888052817,888052815,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#10 Andres Ambühl,#77 Colton Sceviour,#28 Nathan Beaulieu,#91 Tyler Morley,#8 Jordie Benn,#30 Aaron Dell,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.6,-0.2","-21,0","-15.2,9.4","-9.4,-2.5","-13.1,-11.5","-24,-0.3","-15.9,2.4","-23.4,-0.3","-15.9,-3.4","-19.5,-2.2","-25.2,-0.2",,0.7,0.383,3.22,5.089,3.226,0.962,0.821,1.867,4.511,1.989,0.795,,"-0.355,0.935","-0.896,0.445","-0.971,0.238","0.07,0.998","0.638,0.77","0.366,0.931","-1,-0.022","0.506,0.863","0.11,0.994","-0.907,0.421","-0.257,0.966",
3,571,1.70E+12,PuckControl,AwayPowerplay,4v5,TRUE,TRUE,HomeTeamZone,"-9.8,-1.4","-12.2,-7.7",,,,,,,,,,,,,,,,,,,,,,,,,AwayControl,AwayTeamZone,AwayTeamZone,,,,,304441,337835,337684,322236,332924,100375,340579,344373,342910,888052817,888052815,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#10 Andres Ambühl,#77 Colton Sceviour,#28 Nathan Beaulieu,#91 Tyler Morley,#8 Jordie Benn,#30 Aaron Dell,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.5,-0.1","-21,0","-15.2,9.5","-9.4,-2.4","-13,-11.5","-24,-0.3","-16,2.4","-23.4,-0.2","-15.9,-3.3","-19.6,-2.2","-25.2,-0.2",,,,,,,,,,,,,,,,,,,,,,,,,
3,572,1.70E+12,PuckControl,AwayPowerplay,4v5,TRUE,TRUE,HomeTeamZone,"-12.2,-7.7","-15.6,-6.9",332924,#25 Henrik Haapala,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,AwayTeamZone,AwayTeamZone,,,,332924,304441,337835,337684,322236,332924,100375,340579,344373,342910,888052817,888052815,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#10 Andres Ambühl,#77 Colton Sceviour,#28 Nathan Beaulieu,#91 Tyler Morley,#8 Jordie Benn,#30 Aaron Dell,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.5,0.4","-21.3,-0.4","-17.4,9.8","-9.1,0.5","-12.2,-9.6","-23.9,-0.6","-16.5,1.8","-22.8,0.6","-15.7,-1.8","-20.3,-2.5","-25.4,0",,,,,,,,,,,,,,,,,,,,,,,,,
3,573,1.70E+12,Pass,AwayPowerplay,4v5,TRUE,TRUE,HomeTeamZone,"-15.3,-7.1","-19,-5.8",332924,#25 Henrik Haapala,Away,888052817,#8 Jordie Benn,Home,,,,,,,,Intercepted,0,,,,,,,,,,,,,,,,3.33E+14,304441,337835,337684,322236,332924,100375,340579,344373,342910,888052817,888052815,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#10 Andres Ambühl,#77 Colton Sceviour,#28 Nathan Beaulieu,#91 Tyler Morley,#8 Jordie Benn,#30 Aaron Dell,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.1,-0.1","-21.1,-1.5","-21.1,8.3","-8.1,0.9","-13.8,-7.7","-24.7,-3","-17.2,1","-22.9,0.8","-16.5,-3.5","-19.7,-3.9","-25.3,-0.7",,2.151,1.106,4.435,1.348,3.439,2.778,1.788,1.955,3.367,1.611,0.549,,"-0.519,-0.855","0.558,-0.83","-0.82,-0.572","0.295,-0.956","-0.814,0.58","-0.534,-0.846","-0.798,-0.602","-0.419,-0.908","-0.431,-0.902","0.328,-0.945","-0.157,-0.988",
3,573,1.70E+12,PuckControl,AwayPowerplay,4v5,TRUE,TRUE,HomeTeamZone,"-15.6,-6.9","-20.2,-6.6",,,,,,,,,,,,,,,,,,,,,,,,,Loose,AwayTeamZone,AwayTeamZone,,,,,304441,337835,337684,322236,332924,100375,340579,344373,342910,888052817,888052815,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#10 Andres Ambühl,#77 Colton Sceviour,#28 Nathan Beaulieu,#91 Tyler Morley,#8 Jordie Benn,#30 Aaron Dell,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.1,-0.2","-21.1,-1.5","-21.2,8.3","-8.1,0.8","-13.8,-7.6","-24.8,-3.1","-17.2,1","-22.9,0.8","-16.5,-3.6","-19.7,-3.9","-25.3,-0.8",,,,,,,,,,,,,,,,,,,,,,,,,
3,573,1.70E+12,PuckControl,AwayPowerplay,4v5,TRUE,TRUE,HomeTeamZone,"-20.2,-6.6","-20.5,-6.9",888052817,#8 Jordie Benn,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,AwayTeamZone,AwayTeamZone,,,,888052817,304441,337835,337684,322236,332924,100375,340579,344373,342910,888052817,888052815,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#10 Andres Ambühl,#77 Colton Sceviour,#28 Nathan Beaulieu,#91 Tyler Morley,#8 Jordie Benn,#30 Aaron Dell,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.8,-0.5","-20.9,-1.7","-22.2,7.5","-8.1,0.5","-14.7,-7.1","-25.2,-3.8","-17.8,0.6","-23.1,0.2","-17.1,-4.3","-19.7,-4.5","-25.4,-0.8",,,,,,,,,,,,,,,,,,,,,,,,,
3,573,1.70E+12,PuckControl,AwayPowerplay,4v5,TRUE,TRUE,HomeTeamZone,"-20.5,-6.9","-26.6,-10.1",,,,,,,,,,,,,,,,,,,,,,,,,Loose,AwayTeamZone,AwayTeamZone,,,,,304441,337835,337684,322236,332924,100375,340579,344373,342910,888052817,888052815,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#10 Andres Ambühl,#77 Colton Sceviour,#28 Nathan Beaulieu,#91 Tyler Morley,#8 Jordie Benn,#30 Aaron Dell,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.8,-0.4","-20.8,-1.8","-22.4,7.4","-8.1,0.4","-14.9,-7","-25.3,-3.9","-18,0.5","-23.1,0.1","-17.2,-4.4","-19.8,-4.6","-25.5,-0.8",,,,,,,,,,,,,,,,,,,,,,,,,
